Этап,Дата,Матч,Голы хозяев,Голы гостей,Голы гости
1/8 финала,07.05.2025,ФК Эмеково – ФК Приволжск,3,0,
1/8 финала,28.05.2025,ФК Приволжск – ФК Эмеково,,,
1/4 финала,04.06.2025,ФК Помары – ФК Сотнур,,,
1/4 финала,18.06.2025,ФК Сотнур – ФК Помары,,,
1/4 финала,04.06.2025,ФК Параты – ФК Часовенная,,,
1/4 финала,18.06.2025,ФК Часовенная – ФК Параты,,,
1/4 финала,04.06.2025,Поб. Эмеково/Приволжск – ФК Ярамор,,,
1/4 финала,18.06.2025,ФК Ярамор – Поб. Эмеково/Приволжск,,,
1/4 финала,04.06.2025,ФК Петьял – ФК Карамассы,,,
1/4 финала,18.06.2025,ФК Карамассы – ФК Петьял,,,
1/2 финала,02.07.2025,? – ?,,,
1/2 финала,16.07.2025,? – ?,,,
1/2 финала,02.07.2025,? – ?,,,
1/2 финала,16.07.2025,? – ?,,,
Финал,30.07.2025,? – ?,,,
