Тур,Хозяева,Гости,Голы хозяев,Голы гостей
1,ФК Петьял,ФК Карамассы,3,0
1,ФК Приволжск,ФК Помары,1,6
1,ФК Сотнур,ФК Ярамор,2,2
1,ФК Эмеково,ФК Часовенная,2,1
2,ФК Карамассы,ФК Параты,7,1
2,ФК Петьял,ФК Ярамор,0,2
2,ФК Помары,ФК Часовенная,5,1
2,ФК Сотнур,ФК Эмеково,1,4
3,ФК Параты,ФК Приволжск,5,2
3,ФК Карамассы,ФК Ярамор,3,2
3,ФК Петьял,ФК Эмеково,2,1
3,ФК Сотнур,ФК Помары,0,4
4,ФК Ярамор,ФК Параты,0,1
4,ФК Часовенная,ФК Приволжск,3,1
4,ФК Эмеково,ФК Карамассы,0,4
4,ФК Помары,ФК Петьял,1,3
5,ФК Параты,ФК Часовенная,4,4
5,ФК Ярамор,ФК Эмеково,4,2
5,ФК Приволжск,ФК Сотнур,3,2
5,ФК Карамассы,ФК Помары,,
6,ФК Эмеково,ФК Параты,3,0
6,ФК Сотнур,ФК Часовенная,2,3
6,ФК Ярамор,ФК Помары,1,2
6,ФК Петьял,ФК Приволжск,4,1
7,ФК Параты,ФК Сотнур,5,2
7,ФК Помары,ФК Эмеково,3,1
7,ФК Часовенная,ФК Петьял,2,2
7,ФК Приволжск,ФК Карамассы,2,5
8,ФК Параты,ФК Помары,3,4
8,ФК Петьял,ФК Сотнур,4,4
8,ФК Карамассы,ФК Часовенная,2,1
8,ФК Ярамор,ФК Приволжск,3,2
9,ФК Параты,ФК Петьял,0,2
9,ФК Сотнур,ФК Карамассы,1,3
9,ФК Эмеково,ФК Приволжск,1,3
9,ФК Часовенная,ФК Ярамор,1,5
10,ФК Петьял,ФК Параты,5,1
10,ФК Карамассы,ФК Сотнур,5,1
10,ФК Приволжск,ФК Эмеково,3,2
10,ФК Ярамор,ФК Часовенная,5,2
11,ФК Помары,ФК Параты,5,2
11,ФК Сотнур,ФК Петьял,2,2
11,ФК Часовенная,ФК Карамассы,1,2
11,ФК Приволжск,ФК Ярамор,0,4
12,ФК Сотнур,ФК Параты,3,3
12,ФК Эмеково,ФК Помары,,
12,ФК Петьял,ФК Часовенная,,
12,ФК Карамассы,ФК Приволжск,4,2
13,ФК Параты,ФК Эмеково,6,1
13,ФК Часовенная,ФК Сотнур,3,5
13,ФК Помары,ФК Ярамор,4,0
13,ФК Приволжск,ФК Петьял,2,5
14,ФК Часовенная,ФК Параты,3,5
14,ФК Эмеково,ФК Ярамор,,
14,ФК Сотнур,ФК Приволжск,2,4
14,ФК Помары,ФК Карамассы,0,2
15,ФК Параты,ФК Ярамор,1,1
15,ФК Приволжск,ФК Часовенная,,
15,ФК Карамассы,ФК Эмеково,,
15,ФК Петьял,ФК Помары,2,8
16,ФК Приволжск,ФК Параты,,
16,ФК Ярамор,ФК Карамассы,,
16,ФК Эмеково,ФК Петьял,,
16,ФК Помары,ФК Сотнур,,
17,ФК Параты,ФК Карамассы,,
17,ФК Ярамор,ФК Петьял,,
17,ФК Часовенная,ФК Помары,,
17,ФК Эмеково,ФК Сотнур,,
18,ФК Карамассы,ФК Петьял,,
18,ФК Помары,ФК Приволжск,,
18,ФК Ярамор,ФК Сотнур,,
18,ФК Часовенная,ФК Эмеково,,
